종목코드,종목명,종가,대비,등락률,상장시가총액
"005930","삼성전자","77400","2100","2.79","4.62061169E8"
"000660","SK하이닉스","193700","400","0.21","1.41014058E8"
"373220","LG에너지솔루션","351500","15000","4.46","8.2251E7"
"005380","현대차","264000","5000","1.93","5.5285874E7"
"207940","삼성바이오로직스","760000","7000","0.93","5.409224E7"
"000270","기아","119500","500","0.42","4.7783081E7"
"068270","셀트리온","190300","2200","1.17","4.129381E7"
"005490","POSCO홀딩스","381000","6000","1.60","3.2221639E7"
"105560","KB금융","77400","-200","-0.26","3.1231757E7"
"035420","NAVER","177100","300","0.17","2.8762562E7"
"006400","삼성SDI","391500","13500","3.57","2.6921313E7"
"051910","LG화학","374500","13500","3.74","2.6436832E7"
"028260","삼성물산","135100","-300","-0.22","2.4018633E7"
"055550","신한지주","45550","150","0.33","2.3202861E7"
"003670","포스코퓨처엠","275500","13500","5.15","2.1341117E7"
"012330","현대모비스","222000","2000","0.91","2.0791431E7"
"035720","카카오","44550","-50","-0.11","1.9750182E7"
"086790","하나금융지주","59700","-700","-1.16","1.7453689E7"
"066570","LG전자","100700","-400","-0.40","1.6479335E7"
"000810","삼성화재","343500","500","0.15","1.6273257E7"
"032830","삼성생명","81200","-1100","-1.34","1.624E7"
"138040","메리츠금융지주","75500","400","0.53","1.4399369E7"
"011200","HMM","19090","90","0.47","1.3153764E7"
"015760","한국전력","20150","150","0.75","1.2935576E7"
"003550","LG","79600","600","0.76","1.2521159E7"
"018260","삼성에스디에스","157900","-300","-0.19","1.2217955E7"
"034020","두산에너빌리티","19120","-80","-0.42","1.2247529E7"
"259960","크래프톤","246000","-3500","-1.40","1.189801E7"
"034730","SK","164000","-2100","-1.26","1.2004526E7"
"009150","삼성전기","151700","-1500","-0.98","1.1331034E7"
"329180","HD현대중공업","128300","-1200","-0.93","1.1389591E7"
"033780","KT&G","85500","300","0.35","1.1142573E7"
"017670","SK텔레콤","51500","400","0.78","1.1061688E7"
"024110","기업은행","13440","-20","-0.15","1.0717404E7"
"323410","카카오뱅크","22200","-50","-0.22","1.058776E7"
"090430","아모레퍼시픽","177800","-1300","-0.73","1.0400013E7"
"012450","한화에어로스페이스","206500","-4500","-2.13","1.0455095E7"
"316140","우리금융지주","14080","10","0.07","1.0455688E7"
"010130","고려아연","489000","-13000","-2.59","1.02243E7"
"402340","SK스퀘어","76800","-500","-0.65","1.0348797E7"
"267260","HD현대일렉트릭","277000","-22000","-7.36","9985056.0"
"096770","SK이노베이션","103600","-700","-0.67","9918207.0"
"030200","KT","36750","300","0.82","9450813.0"
"009540","HD한국조선해양","130800","100","0.08","9257124.0"
"042660","한화오션","28950","-950","-3.18","8869090.0"
"047050","포스코인터내셔널","47600","1500","3.25","8373925.0"
"352820","하이브","198500","-1500","-0.75","8267941.0"
"010140","삼성중공업","9270","-130","-1.38","8157600.0"
"003490","대한항공","21800","0","0.00","8027210.0"
"010950","S-Oil","67400","-500","-0.74","7588080.0"
"005830","DB손해보험","104200","-500","-0.48","7377360.0"
"086280","현대글로비스","183600","1700","0.93","6885000.0"
"326030","SK바이오팜","85200","-1200","-1.39","6672289.0"
"450080","에코프로머티","95500","11700","13.96","6588088.0"
"000100","유한양행","79600","1100","1.40","6384641.0"
"051900","LG생활건강","410500","8000","1.99","6411270.0"
"010120","LS ELECTRIC","190200","-16800","-8.12","5706000.0"
"022100","포스코DX","37550","1100","3.02","5708904.0"
"011070","LG이노텍","244000","1000","0.41","5774774.0"
"011790","SKC","148000","-1500","-1.00","5604508.0"
"241560","두산밥캣","54300","-1200","-2.16","5443530.0"
